Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
0,27.0,,0.27,0.0,81,1.0,,0.01,0.81,51,46.0,,0.46,23.46,84,35.0,,0.35,29.4,100,24.0,,0.24,24.0
35,27.0,,0.27,9.450000000000001,50,1.0,,0.01,0.5,61,46.0,,0.46,28.060000000000002,72,35.0,,0.35,25.2,46,24.0,,0.24,11.04
0,41.0,False,0.41,0.0,12,1.0,False,0.01,0.12,53,43.0,False,0.43,22.79,74,46.0,False,0.46,34.04,96,22.0,False,0.22,21.12
62,41.0,,0.41,25.419999999999998,100,1.0,,0.01,1.0,64,43.0,,0.43,27.52,72,46.0,,0.46,33.120000000000005,56,22.0,,0.22,12.32
93,41.0,,0.41,38.129999999999995,67,1.0,,0.01,0.67,70,43.0,,0.43,30.099999999999998,98,46.0,,0.46,45.080000000000005,87,22.0,,0.22,19.14
31,41.0,,0.41,12.709999999999999,11,1.0,,0.01,0.11,57,43.0,,0.43,24.509999999999998,95,46.0,,0.46,43.7,71,22.0,,0.22,15.62
30,41.0,,0.41,12.299999999999999,22,1.0,,0.01,0.22,41,43.0,,0.43,17.63,71,46.0,,0.46,32.660000000000004,20,22.0,,0.22,4.4
62,41.0,,0.41,25.419999999999998,44,1.0,,0.01,0.44,41,43.0,,0.43,17.63,65,46.0,,0.46,29.900000000000002,56,22.0,,0.22,12.32
67,41.0,,0.41,27.47,36,1.0,,0.01,0.36,59,43.0,,0.43,25.37,79,46.0,,0.46,36.34,50,22.0,,0.22,11.0
34,28.0,False,0.28,9.520000000000001,36,0.0,False,0.0,0.0,52,47.0,False,0.47,24.439999999999998,90,43.0,False,0.43,38.7,34,20.0,False,0.2,6.800000000000001
0,28.0,,0.28,0.0,21,0.0,,0.0,0.0,40,47.0,,0.47,18.799999999999997,81,43.0,,0.43,34.83,20,20.0,,0.2,4.0
60,28.0,,0.28,16.8,43,0.0,,0.0,0.0,56,47.0,,0.47,26.32,90,43.0,,0.43,38.7,65,20.0,,0.2,13.0
31,28.0,,0.28,8.680000000000001,55,0.0,,0.0,0.0,32,47.0,,0.47,15.04,67,43.0,,0.43,28.81,41,20.0,,0.2,8.200000000000001
63,28.0,,0.28,17.64,34,0.0,,0.0,0.0,58,47.0,,0.47,27.259999999999998,66,43.0,,0.43,28.38,42,20.0,,0.2,8.4
0,28.0,,0.28,0.0,23,0.0,,0.0,0.0,49,47.0,,0.47,23.029999999999998,64,43.0,,0.43,27.52,47,20.0,,0.2,9.4
0,28.0,,0.28,0.0,25,0.0,,0.0,0.0,60,47.0,,0.47,28.2,79,43.0,,0.43,33.97,51,20.0,,0.2,10.200000000000001
100,21.0,False,0.21,21.0,36,1.0,False,0.01,0.36,100,44.0,False,0.44,44.0,73,38.0,False,0.38,27.740000000000002,39,16.0,False,0.16,6.24
61,21.0,,0.21,12.809999999999999,44,1.0,,0.01,0.44,38,44.0,,0.44,16.72,63,38.0,,0.38,23.94,46,16.0,,0.16,7.36
30,21.0,,0.21,6.3,22,1.0,,0.01,0.22,41,44.0,,0.44,18.04,63,38.0,,0.38,23.94,60,16.0,,0.16,9.6
60,21.0,,0.21,12.6,75,1.0,,0.01,0.75,74,44.0,,0.44,32.56,60,38.0,,0.38,22.8,59,16.0,,0.16,9.44
0,21.0,,0.21,0.0,22,1.0,,0.01,0.22,31,44.0,,0.44,13.64,56,38.0,,0.38,21.28,35,16.0,,0.16,5.6000000000000005
63,21.0,,0.21,13.229999999999999,46,1.0,,0.01,0.46,33,44.0,,0.44,14.52,59,38.0,,0.38,22.42,58,16.0,,0.16,9.28
68,21.0,,0.21,14.28,49,1.0,,0.01,0.49,53,44.0,,0.44,23.32,66,38.0,,0.38,25.080000000000002,74,16.0,,0.16,11.84
68,30.0,False,0.3,20.4,24,0.0,False,0.0,0.0,66,43.0,False,0.43,28.38,56,42.0,False,0.42,23.52,56,22.0,False,0.22,12.32
0,30.0,,0.3,0.0,32,0.0,,0.0,0.0,34,43.0,,0.43,14.62,86,42.0,,0.42,36.12,75,22.0,,0.22,16.5
30,30.0,,0.3,9.0,33,0.0,,0.0,0.0,31,43.0,,0.43,13.33,100,42.0,,0.42,42.0,50,22.0,,0.22,11.0
91,30.0,,0.3,27.3,33,0.0,,0.0,0.0,56,43.0,,0.43,24.08,79,42.0,,0.42,33.18,55,22.0,,0.22,12.1
31,30.0,,0.3,9.299999999999999,44,0.0,,0.0,0.0,47,43.0,,0.43,20.21,83,42.0,,0.42,34.86,41,22.0,,0.22,9.02
0,30.0,,0.3,0.0,68,0.0,,0.0,0.0,39,43.0,,0.43,16.77,65,42.0,,0.42,27.3,36,22.0,,0.22,7.92
69,30.0,,0.3,20.7,50,0.0,,0.0,0.0,57,43.0,,0.43,24.509999999999998,71,42.0,,0.42,29.82,34,22.0,,0.22,7.48
69,9.0,False,0.09,6.21,49,1.0,False,0.01,0.49,64,42.0,False,0.42,26.88,87,34.0,False,0.34,29.580000000000002,45,15.0,False,0.15,6.75
29,9.0,,0.09,2.61,53,1.0,,0.01,0.53,69,42.0,,0.42,28.98,76,34.0,,0.34,25.840000000000003,40,15.0,,0.15,6.0
29,9.0,,0.09,2.61,89,1.0,,0.01,0.89,69,42.0,,0.42,28.98,90,34.0,,0.34,30.6,100,15.0,,0.15,15.0
59,9.0,,0.09,5.31,18,1.0,,0.01,0.18,91,42.0,,0.42,38.22,100,34.0,,0.34,34.0,60,15.0,,0.15,9.0
59,9.0,,0.09,5.31,72,1.0,,0.01,0.72,70,42.0,,0.42,29.4,72,34.0,,0.34,24.48,87,15.0,,0.15,13.049999999999999
0,9.0,,0.09,0.0,55,1.0,,0.01,0.55,60,42.0,,0.42,25.2,85,34.0,,0.34,28.900000000000002,27,15.0,,0.15,4.05
32,9.0,,0.09,2.88,59,1.0,,0.01,0.59,76,42.0,,0.42,31.919999999999998,96,34.0,,0.34,32.64,22,15.0,,0.15,3.3
32,16.0,False,0.16,5.12,78,1.0,False,0.01,0.78,76,39.0,False,0.39,29.64,66,29.0,False,0.29,19.139999999999997,44,14.0,False,0.14,6.16
0,16.0,,0.16,0.0,53,1.0,,0.01,0.53,89,39.0,,0.39,34.71,68,29.0,,0.29,19.72,52,14.0,,0.14,7.280000000000001
29,16.0,,0.16,4.64,18,1.0,,0.01,0.18,100,39.0,,0.39,39.0,67,29.0,,0.29,19.43,26,14.0,,0.14,3.6400000000000006
29,16.0,,0.16,4.64,71,1.0,,0.01,0.71,53,39.0,,0.39,20.67,73,29.0,,0.29,21.169999999999998,46,14.0,,0.14,6.44
30,16.0,,0.16,4.8,36,1.0,,0.01,0.36,60,39.0,,0.39,23.400000000000002,74,29.0,,0.29,21.459999999999997,54,14.0,,0.14,7.5600000000000005
31,16.0,,0.16,4.96,77,1.0,,0.01,0.77,63,39.0,,0.39,24.57,72,29.0,,0.29,20.88,57,14.0,,0.14,7.98
0,16.0,,0.16,0.0,60,1.0,,0.01,0.6,53,39.0,,0.39,20.67,88,29.0,,0.29,25.52,67,14.0,,0.14,9.38
0,9.0,False,0.09,0.0,60,1.0,False,0.01,0.6,66,31.0,False,0.31,20.46,69,26.0,False,0.26,17.94,45,19.0,False,0.19,8.55
0,9.0,,0.09,0.0,73,1.0,,0.01,0.73,54,31.0,,0.31,16.74,80,26.0,,0.26,20.8,88,19.0,,0.19,16.72
0,9.0,,0.09,0.0,18,1.0,,0.01,0.18,53,31.0,,0.31,16.43,62,26.0,,0.26,16.12,53,19.0,,0.19,10.07
29,9.0,,0.09,2.61,72,1.0,,0.01,0.72,48,31.0,,0.31,14.879999999999999,72,26.0,,0.26,18.72,67,19.0,,0.19,12.73
30,9.0,,0.09,2.6999999999999997,36,1.0,,0.01,0.36,70,31.0,,0.31,21.7,74,26.0,,0.26,19.240000000000002,81,19.0,,0.19,15.39
0,9.0,,0.09,0.0,37,1.0,,0.01,0.37,66,31.0,,0.31,20.46,83,26.0,,0.26,21.580000000000002,62,19.0,,0.19,11.78
33,9.0,,0.09,2.9699999999999998,20,1.0,,0.01,0.2,36,31.0,,0.31,11.16,85,26.0,,0.26,22.1,68,19.0,,0.19,12.92
0,27.0,False,0.27,0.0,20,0.0,False,0.0,0.0,60,35.0,False,0.35,21.0,71,21.0,False,0.21,14.91,67,22.0,False,0.22,14.74
85,27.0,,0.27,22.950000000000003,34,0.0,,0.0,0.0,67,35.0,,0.35,23.45,42,21.0,,0.21,8.82,32,22.0,,0.22,7.04
59,27.0,,0.27,15.930000000000001,18,0.0,,0.0,0.0,59,35.0,,0.35,20.65,49,21.0,,0.21,10.29,60,22.0,,0.22,13.2
57,27.0,,0.27,15.39,53,0.0,,0.0,0.0,89,35.0,,0.35,31.15,37,21.0,,0.21,7.77,39,22.0,,0.22,8.58
58,27.0,,0.27,15.66,36,0.0,,0.0,0.0,69,35.0,,0.35,24.15,58,21.0,,0.21,12.18,73,22.0,,0.22,16.06
60,27.0,,0.27,16.200000000000003,55,0.0,,0.0,0.0,49,35.0,,0.35,17.15,62,21.0,,0.21,13.02,62,22.0,,0.22,13.64
100,27.0,,0.27,27.0,61,0.0,,0.0,0.0,97,35.0,,0.35,33.949999999999996,51,21.0,,0.21,10.709999999999999,83,22.0,,0.22,18.26
0,16.0,False,0.16,0.0,100,0.0,False,0.0,0.0,54,37.0,False,0.37,19.98,44,20.0,False,0.2,8.8,52,15.0,False,0.15,7.8
24,16.0,,0.16,3.84,0,0.0,,0.0,0.0,62,37.0,,0.37,22.94,60,20.0,,0.2,12.0,69,15.0,,0.15,10.35
24,16.0,,0.16,3.84,44,0.0,,0.0,0.0,54,37.0,,0.37,19.98,76,20.0,,0.2,15.200000000000001,57,15.0,,0.15,8.549999999999999
0,16.0,,0.16,0.0,29,0.0,,0.0,0.0,53,37.0,,0.37,19.61,52,20.0,,0.2,10.4,63,15.0,,0.15,9.45
24,16.0,,0.16,3.84,29,0.0,,0.0,0.0,73,37.0,,0.37,27.009999999999998,45,20.0,,0.2,9.0,51,15.0,,0.15,7.6499999999999995
0,16.0,,0.16,0.0,15,0.0,,0.0,0.0,61,37.0,,0.37,22.57,70,20.0,,0.2,14.0,33,15.0,,0.15,4.95
0,16.0,,0.16,0.0,17,0.0,,0.0,0.0,44,37.0,,0.37,16.28,46,20.0,,0.2,9.200000000000001,50,15.0,,0.15,7.5
54,21.0,False,0.21,11.34,17,0.0,False,0.0,0.0,99,39.0,False,0.39,38.61,91,17.0,False,0.17,15.47,43,14.0,False,0.14,6.0200000000000005
24,21.0,,0.21,5.04,59,0.0,,0.0,0.0,34,39.0,,0.39,13.26,67,17.0,,0.17,11.39,44,14.0,,0.14,6.16
95,21.0,,0.21,19.95,0,0.0,,0.0,0.0,58,39.0,,0.39,22.62,56,17.0,,0.17,9.520000000000001,51,14.0,,0.14,7.140000000000001
23,21.0,,0.21,4.83,58,0.0,,0.0,0.0,91,39.0,,0.39,35.49,51,17.0,,0.17,8.67,38,14.0,,0.14,5.32
24,21.0,,0.21,5.04,60,0.0,,0.0,0.0,74,39.0,,0.39,28.86,49,17.0,,0.17,8.33,78,14.0,,0.14,10.920000000000002
49,21.0,,0.21,10.29,61,0.0,,0.0,0.0,40,39.0,,0.39,15.600000000000001,38,17.0,,0.17,6.460000000000001,73,14.0,,0.14,10.22
0,21.0,,0.21,0.0,50,0.0,,0.0,0.0,66,39.0,,0.39,25.740000000000002,49,17.0,,0.17,8.33,65,14.0,,0.14,9.100000000000001
52,30.0,False,0.3,15.6,64,0.0,False,0.0,0.0,100,34.0,False,0.34,34.0,38,20.0,False,0.2,7.6000000000000005,76,15.0,False,0.15,11.4
79,30.0,,0.3,23.7,37,0.0,,0.0,0.0,48,34.0,,0.34,16.32,47,20.0,,0.2,9.4,53,15.0,,0.15,7.949999999999999
83,30.0,,0.3,24.9,38,0.0,,0.0,0.0,55,34.0,,0.34,18.700000000000003,60,20.0,,0.2,12.0,83,15.0,,0.15,12.45
47,30.0,,0.3,14.1,29,0.0,,0.0,0.0,39,34.0,,0.34,13.260000000000002,75,20.0,,0.2,15.0,51,15.0,,0.15,7.6499999999999995
0,30.0,,0.3,0.0,59,0.0,,0.0,0.0,49,34.0,,0.34,16.66,79,20.0,,0.2,15.8,32,15.0,,0.15,4.8
49,30.0,,0.3,14.7,0,0.0,,0.0,0.0,45,34.0,,0.34,15.3,80,20.0,,0.2,16.0,33,15.0,,0.15,4.95
0,30.0,,0.3,0.0,50,0.0,,0.0,0.0,44,34.0,,0.34,14.96,79,20.0,,0.2,15.8,51,15.0,,0.15,7.6499999999999995
27,21.0,False,0.21,5.67,100,0.0,False,0.0,0.0,77,37.0,False,0.37,28.49,69,26.0,False,0.26,17.94,36,17.0,False,0.17,6.12
0,21.0,,0.21,0.0,59,0.0,,0.0,0.0,54,37.0,,0.37,19.98,80,26.0,,0.26,20.8,83,17.0,,0.17,14.110000000000001
23,21.0,,0.21,4.83,43,0.0,,0.0,0.0,43,37.0,,0.37,15.91,100,26.0,,0.26,26.0,44,17.0,,0.17,7.48
96,21.0,,0.21,20.16,30,0.0,,0.0,0.0,69,37.0,,0.37,25.53,68,26.0,,0.26,17.68,71,17.0,,0.17,12.07
49,21.0,,0.21,10.29,45,0.0,,0.0,0.0,49,37.0,,0.37,18.13,91,26.0,,0.26,23.66,58,17.0,,0.17,9.860000000000001
49,21.0,,0.21,10.29,46,0.0,,0.0,0.0,30,37.0,,0.37,11.1,61,26.0,,0.26,15.860000000000001,53,17.0,,0.17,9.01
28,21.0,,0.21,5.88,86,0.0,,0.0,0.0,51,37.0,,0.37,18.87,68,26.0,,0.26,17.68,45,17.0,,0.17,7.65
28,48.0,False,0.48,13.44,17,1.0,False,0.01,0.17,62,31.0,False,0.31,19.22,98,18.0,False,0.18,17.64,22,16.0,False,0.16,3.52
25,48.0,,0.48,12.0,30,1.0,,0.01,0.3,60,31.0,,0.31,18.6,63,18.0,,0.18,11.34,46,16.0,,0.16,7.36
25,48.0,,0.48,12.0,0,1.0,,0.01,0.0,45,31.0,,0.31,13.95,56,18.0,,0.18,10.08,46,16.0,,0.16,7.36
100,48.0,,0.48,48.0,62,1.0,,0.01,0.62,51,31.0,,0.31,15.81,59,18.0,,0.18,10.62,100,16.0,,0.16,16.0
36,48.0,,0.48,17.28,92,1.0,,0.01,0.92,49,31.0,,0.31,15.19,72,18.0,,0.18,12.959999999999999,26,16.0,,0.16,4.16
51,48.0,,0.48,24.48,49,1.0,,0.01,0.49,41,31.0,,0.31,12.709999999999999,76,18.0,,0.18,13.68,31,16.0,,0.16,4.96
0,48.0,,0.48,0.0,0,1.0,,0.01,0.0,32,31.0,,0.31,9.92,29,18.0,,0.18,5.22,41,16.0,,0.16,6.5600000000000005
13,32.0,False,0.32,4.16,51,0.0,False,0.0,0.0,48,32.0,False,0.32,15.36,68,18.0,False,0.18,12.24,16,20.0,False,0.2,3.2
35,32.0,,0.32,11.200000000000001,0,0.0,,0.0,0.0,46,32.0,,0.32,14.72,90,18.0,,0.18,16.2,46,20.0,,0.2,9.200000000000001
22,32.0,,0.32,7.04,42,0.0,,0.0,0.0,54,32.0,,0.32,17.28,59,18.0,,0.18,10.62,34,20.0,,0.2,6.800000000000001
78,32.0,,0.32,24.96,28,0.0,,0.0,0.0,58,32.0,,0.32,18.56,81,18.0,,0.18,14.58,38,20.0,,0.2,7.6000000000000005
67,32.0,,0.32,21.44,57,0.0,,0.0,0.0,36,32.0,,0.32,11.52,84,18.0,,0.18,15.12,28,20.0,,0.2,5.6000000000000005
0,32.0,,0.32,0.0,29,0.0,,0.0,0.0,27,32.0,,0.32,8.64,65,18.0,,0.18,11.7,38,20.0,,0.2,7.6000000000000005
12,32.0,,0.32,3.84,63,0.0,,0.0,0.0,54,32.0,,0.32,17.28,66,18.0,,0.18,11.879999999999999,38,20.0,,0.2,7.6000000000000005
63,30.0,False,0.3,18.9,0,0.0,False,0.0,0.0,45,33.0,False,0.33,14.850000000000001,78,21.0,False,0.21,16.38,19,21.0,False,0.21,3.9899999999999998
11,30.0,,0.3,3.3,42,0.0,,0.0,0.0,62,33.0,,0.33,20.46,51,21.0,,0.21,10.709999999999999,20,21.0,,0.21,4.2
45,30.0,,0.3,13.5,14,0.0,,0.0,0.0,72,33.0,,0.33,23.76,62,21.0,,0.21,13.02,55,21.0,,0.21,11.549999999999999
11,30.0,,0.3,3.3,57,0.0,,0.0,0.0,45,33.0,,0.33,14.850000000000001,70,21.0,,0.21,14.7,41,21.0,,0.21,8.61
11,30.0,,0.3,3.3,72,0.0,,0.0,0.0,54,33.0,,0.33,17.82,73,21.0,,0.21,15.33,14,21.0,,0.21,2.94
23,30.0,,0.3,6.8999999999999995,15,0.0,,0.0,0.0,46,33.0,,0.33,15.180000000000001,77,21.0,,0.21,16.169999999999998,43,21.0,,0.21,9.03
50,30.0,,0.3,15.0,80,0.0,,0.0,0.0,66,33.0,,0.33,21.78,87,21.0,,0.21,18.27,43,21.0,,0.21,9.03
0,47.0,False,0.47,0.0,64,1.0,False,0.01,0.64,55,38.0,False,0.38,20.9,100,18.0,False,0.18,18.0,39,20.0,False,0.2,7.800000000000001
34,47.0,,0.47,15.979999999999999,28,1.0,,0.01,0.28,58,38.0,,0.38,22.04,57,18.0,,0.18,10.26,28,20.0,,0.2,5.6000000000000005
11,47.0,,0.47,5.17,42,1.0,,0.01,0.42,36,38.0,,0.38,13.68,76,18.0,,0.18,13.68,38,20.0,,0.2,7.6000000000000005
56,47.0,,0.47,26.32,100,1.0,,0.01,1.0,54,38.0,,0.38,20.52,62,18.0,,0.18,11.16,28,20.0,,0.2,5.6000000000000005
67,47.0,,0.47,31.49,71,1.0,,0.01,0.71,49,38.0,,0.38,18.62,49,18.0,,0.18,8.82,27,20.0,,0.2,5.4
23,47.0,,0.47,10.809999999999999,15,1.0,,0.01,0.15,66,38.0,,0.38,25.080000000000002,52,18.0,,0.18,9.36,29,20.0,,0.2,5.800000000000001
38,47.0,,0.47,17.86,97,1.0,,0.01,0.97,41,38.0,,0.38,15.58,73,18.0,,0.18,13.139999999999999,27,20.0,,0.2,5.4
12,64.0,False,0.64,7.68,64,0.0,False,0.0,0.0,100,42.0,False,0.42,42.0,80,15.0,False,0.15,12.0,35,31.0,False,0.31,10.85
11,64.0,,0.64,7.04,28,0.0,,0.0,0.0,76,42.0,,0.42,31.919999999999998,77,15.0,,0.15,11.549999999999999,38,31.0,,0.31,11.78
67,64.0,,0.64,42.88,28,0.0,,0.0,0.0,85,42.0,,0.42,35.699999999999996,64,15.0,,0.15,9.6,100,31.0,,0.31,31.0
100,64.0,,0.64,64.0,28,0.0,,0.0,0.0,98,42.0,,0.42,41.16,69,15.0,,0.15,10.35,96,31.0,,0.31,29.759999999999998
44,64.0,,0.64,28.16,42,0.0,,0.0,0.0,49,42.0,,0.42,20.58,39,15.0,,0.15,5.85,61,31.0,,0.31,18.91
45,64.0,,0.64,28.8,29,0.0,,0.0,0.0,50,42.0,,0.42,21.0,65,15.0,,0.15,9.75,56,31.0,,0.31,17.36
100,64.0,,0.64,64.0,48,0.0,,0.0,0.0,100,42.0,,0.42,42.0,84,15.0,,0.15,12.6,47,31.0,,0.31,14.57
21,42.0,False,0.42,8.82,47,0.0,False,0.0,0.0,55,33.0,False,0.33,18.150000000000002,72,17.0,False,0.17,12.24,23,61.0,False,0.61,14.03
6,42.0,,0.42,2.52,0,0.0,,0.0,0.0,59,33.0,,0.33,19.470000000000002,85,17.0,,0.17,14.450000000000001,51,61.0,,0.61,31.11
12,42.0,,0.42,5.04,28,0.0,,0.0,0.0,39,33.0,,0.33,12.870000000000001,80,17.0,,0.17,13.600000000000001,100,61.0,,0.61,61.0
13,42.0,,0.42,5.46,42,0.0,,0.0,0.0,49,33.0,,0.33,16.17,51,17.0,,0.17,8.67,52,61.0,,0.61,31.72
13,42.0,,0.42,5.46,71,0.0,,0.0,0.0,50,33.0,,0.33,16.5,86,17.0,,0.17,14.620000000000001,42,61.0,,0.61,25.62
0,42.0,,0.42,0.0,15,0.0,,0.0,0.0,52,33.0,,0.33,17.16,100,17.0,,0.17,17.0,35,61.0,,0.61,21.349999999999998
29,42.0,,0.42,12.18,64,0.0,,0.0,0.0,84,33.0,,0.33,27.720000000000002,35,17.0,,0.17,5.95,27,61.0,,0.61,16.47
22,55.0,False,0.55,12.100000000000001,49,1.0,False,0.01,0.49,69,43.0,False,0.43,29.669999999999998,47,15.0,False,0.15,7.05,22,22.0,False,0.22,4.84
45,55.0,,0.55,24.750000000000004,43,1.0,,0.01,0.43,50,43.0,,0.43,21.5,83,15.0,,0.15,12.45,19,22.0,,0.22,4.18
19,55.0,,0.55,10.450000000000001,14,1.0,,0.01,0.14,64,43.0,,0.43,27.52,74,15.0,,0.15,11.1,35,22.0,,0.22,7.7
0,55.0,,0.55,0.0,28,1.0,,0.01,0.28,54,43.0,,0.43,23.22,61,15.0,,0.15,9.15,16,22.0,,0.22,3.52
26,55.0,,0.55,14.3,73,1.0,,0.01,0.73,81,43.0,,0.43,34.83,87,15.0,,0.15,13.049999999999999,21,22.0,,0.22,4.62
27,55.0,,0.55,14.850000000000001,76,1.0,,0.01,0.76,80,43.0,,0.43,34.4,73,15.0,,0.15,10.95,17,22.0,,0.22,3.74
15,55.0,,0.55,8.25,65,1.0,,0.01,0.65,91,43.0,,0.43,39.13,74,15.0,,0.15,11.1,20,22.0,,0.22,4.4
21,44.0,False,0.44,9.24,47,1.0,False,0.01,0.47000000000000003,88,36.0,False,0.36,31.68,61,15.0,False,0.15,9.15,27,19.0,False,0.19,5.13
13,44.0,,0.44,5.72,56,1.0,,0.01,0.56,64,36.0,,0.36,23.04,81,15.0,,0.15,12.15,24,19.0,,0.19,4.5600000000000005
19,44.0,,0.44,8.36,28,1.0,,0.01,0.28,45,36.0,,0.36,16.2,99,15.0,,0.15,14.85,11,19.0,,0.19,2.09
19,44.0,,0.44,8.36,28,1.0,,0.01,0.28,34,36.0,,0.36,12.24,67,15.0,,0.15,10.049999999999999,17,19.0,,0.19,3.23
32,44.0,,0.44,14.08,71,1.0,,0.01,0.71,65,36.0,,0.36,23.4,62,15.0,,0.15,9.299999999999999,10,19.0,,0.19,1.9
20,44.0,,0.44,8.8,0,1.0,,0.01,0.0,41,36.0,,0.36,14.76,64,15.0,,0.15,9.6,10,19.0,,0.19,1.9
22,44.0,,0.44,9.68,48,1.0,,0.01,0.48,56,36.0,,0.36,20.16,62,15.0,,0.15,9.299999999999999,11,19.0,,0.19,2.09
14,38.0,False,0.38,5.32,16,0.0,False,0.0,0.0,56,27.0,False,0.27,15.120000000000001,77,13.0,False,0.13,10.01,22,14.0,False,0.14,3.08
7,38.0,,0.38,2.66,44,0.0,,0.0,0.0,71,27.0,,0.27,19.17,91,13.0,,0.13,11.83,12,14.0,,0.14,1.6800000000000002
13,38.0,,0.38,4.94,100,0.0,,0.0,0.0,55,27.0,,0.27,14.850000000000001,62,13.0,,0.13,8.06,18,14.0,,0.14,2.5200000000000005
13,38.0,,0.38,4.94,14,0.0,,0.0,0.0,25,27.0,,0.27,6.75,79,13.0,,0.13,10.27,16,14.0,,0.14,2.24
19,38.0,,0.38,7.22,86,0.0,,0.0,0.0,55,27.0,,0.27,14.850000000000001,76,13.0,,0.13,9.88,15,14.0,,0.14,2.1
20,38.0,,0.38,7.6,60,0.0,,0.0,0.0,36,27.0,,0.27,9.72,50,13.0,,0.13,6.5,10,14.0,,0.14,1.4000000000000001
15,38.0,,0.38,5.7,50,0.0,,0.0,0.0,69,27.0,,0.27,18.630000000000003,72,13.0,,0.13,9.36,7,14.0,,0.14,0.9800000000000001
23,44.0,True,0.44,10.12,50,1.0,True,0.01,0.5,29,27.0,True,0.27,7.83,53,10.0,True,0.1,5.300000000000001,17,14.0,True,0.14,2.3800000000000003
0,44.0,,0.44,0.0,59,1.0,,0.01,0.59,41,27.0,,0.27,11.07,60,10.0,,0.1,6.0,12,14.0,,0.14,1.6800000000000002
